timestamp	asset_composition	asset_amounts	total_portfolio_value	pnl	return	apr	net_gain_vs_hold	capital_used_in_trading	total_capital_locked	lp_fees_earned	trading_fees_paid	gas_fees_paid	max_drawdown	max_gain	impermanent_loss	asset_exposure	rebalancing_actions	notes
1747544400000	cbBTC,USDC	0.05168056,5123.50	10588.76	588.76	5.887614	22.98	96.428222	10480.17	10480.17	108.588377	0.000000	0.000000	6.072213	6.292558	-0.110150	0.00	0	
1747548000000	cbBTC,USDC	0.05168056,5123.50	10579.96	579.96	5.799640	22.93	96.680824	10471.35	10471.35	108.617453	0.000000	0.000000	6.072213	6.292558	-0.106319	0.00	0	
1747551600000	cbBTC,USDC	0.05168056,5123.50	10603.21	603.21	6.032102	22.92	96.301324	10494.39	10494.39	108.821485	0.000000	0.000000	6.072213	6.292558	-0.116448	0.00	0	
1747555200000	cbBTC,USDC	0.05168056,5123.50	10605.02	605.02	6.050246	22.89	96.382718	10496.08	10496.08	108.945683	0.000000	0.000000	6.072213	6.292558	-0.117208	0.00	0	
1747558800000	cbBTC,USDC	0.05168056,5123.50	10603.02	603.02	6.030200	22.84	96.457293	10494.05	10494.05	108.968902	0.000000	0.000000	6.072213	6.292558	-0.116297	0.00	0	
1747562400000	cbBTC,USDC	0.05168056,5123.50	10600.65	600.65	6.006474	22.78	96.517460	10491.68	10491.68	108.968982	0.000000	0.000000	6.072213	6.292558	-0.115235	0.00	0	
1747566000000	cbBTC,USDC	0.05168056,5123.50	10601.03	601.03	6.010270	22.74	96.549810	10492.02	10492.02	109.009911	0.000000	0.000000	6.072213	6.292558	-0.115386	0.00	0	
1747569600000	cbBTC,USDC	0.05168056,5123.50	10603.19	603.19	6.031858	22.70	96.557754	10494.11	10494.11	109.070978	0.000000	0.000000	6.072213	6.292558	-0.116325	0.00	0	
1747573200000	cbBTC,USDC	0.05168056,5123.50	10649.42	649.42	6.494203	22.74	95.872789	10539.88	10539.88	109.544879	0.000000	0.000000	6.250064	6.494203	-0.137652	0.00	0	
1747576800000	cbBTC,USDC	0.05168056,5123.50	10675.06	675.06	6.750610	22.78	95.710257	10565.04	10565.04	110.019660	0.000000	0.000000	6.475244	6.750610	-0.150059	0.00	0	
1747580400000	cbBTC,USDC	0.05168056,5123.50	10687.08	687.08	6.870796	22.82	95.870195	10576.61	10576.61	110.472495	0.000000	0.000000	6.580421	6.870796	-0.155919	0.00	0	
1747584000000	cbBTC,USDC	0.05168056,5123.50	10706.01	706.01	7.060149	22.88	95.923335	10595.02	10595.02	110.992007	0.000000	0.000000	6.745648	7.060149	-0.165455	0.00	0	
1747587600000	cbBTC,USDC	0.05168056,5123.50	10658.89	658.89	6.588914	22.96	97.809289	10547.22	10547.22	111.667475	0.000000	0.000000	6.745648	7.060149	-0.141225	0.00	0	
1747591200000	cbBTC,USDC	0.05168056,5123.50	10636.67	636.67	6.366699	23.15	99.566805	10523.84	10523.84	112.832734	0.000000	0.000000	6.745648	7.060149	-0.129995	0.00	0	
1747594800000	cbBTC,USDC	0.05168056,5123.50	10608.40	608.40	6.083981	23.18	100.705564	10495.15	10495.15	113.245080	0.000000	0.000000	6.745648	7.060149	-0.116791	0.00	0	
1747598400000	cbBTC,USDC	0.05168056,5123.50	10619.92	619.92	6.199174	23.25	101.062070	10506.04	10506.04	113.877296	0.000000	0.000000	6.745648	7.060149	-0.121728	0.00	0	
1747602000000	cbBTC,USDC	0.05168056,5123.50	10627.56	627.56	6.275635	23.27	101.242833	10513.32	10513.32	114.242446	0.000000	0.000000	6.745648	7.060149	-0.125080	0.00	0	
1747605600000	cbBTC,USDC	0.05168056,5123.50	10711.83	711.83	7.118284	23.44	100.214494	10596.51	10596.51	115.320767	0.000000	0.000000	6.796260	7.118284	-0.166235	0.00	0	
1747609200000	cbBTC,USDC	0.05168056,5123.50	10743.73	743.73	7.437337	23.54	100.206725	10627.63	10627.63	116.101219	0.000000	0.000000	7.073043	7.437337	-0.182949	0.00	0	
1747612800000	cbBTC,USDC	0.05168056,5123.50	10681.64	681.64	6.816415	23.63	102.508120	10564.83	10564.83	116.812155	0.000000	0.000000	7.073043	7.437337	-0.149952	0.00	0	
1747616400000	cbBTC,USDC	0.05168056,5123.50	10673.54	673.54	6.735370	23.68	103.239869	10556.21	10556.21	117.325657	0.000000	0.000000	7.073043	7.437337	-0.145651	0.00	0	
1747620000000	cbBTC,USDC	0.05168056,5123.50	10649.44	649.44	6.494388	23.68	104.101217	10531.87	10531.87	117.570530	0.000000	0.000000	7.073043	7.437337	-0.133804	0.00	0	
1747623600000	cbBTC,USDC	0.05168056,5123.50	10597.82	597.82	5.978197	23.66	105.587935	10480.07	10480.07	117.745585	0.000000	0.000000	7.073043	7.437337	-0.110106	0.00	0	
1747627200000	cbBTC,USDC	0.05168056,5123.50	10564.76	564.76	5.647616	23.72	107.017982	10446.44	10446.44	118.323807	0.000000	0.000000	7.073043	7.437337	-0.095840	0.00	0	
1747630800000	cbBTC,USDC	0.05168056,5123.50	10567.10	567.10	5.670978	23.83	107.808661	10447.95	10447.95	119.152658	0.000000	0.000000	7.073043	7.437337	-0.096460	0.00	0	
1747634400000	cbBTC,USDC	0.05168056,5123.50	10529.48	529.48	5.294838	23.83	109.059694	10410.04	10410.04	119.443764	0.000000	0.000000	7.073043	7.437337	-0.081424	0.00	0	
1747638000000	cbBTC,USDC	0.05168056,5123.50	10581.28	581.28	5.812836	23.88	108.270200	10461.33	10461.33	119.953175	0.000000	0.000000	7.073043	7.437337	-0.102046	0.00	0	
1747641600000	cbBTC,USDC	0.05168056,5123.50	10578.47	578.47	5.784702	23.87	108.568173	10458.30	10458.30	120.174299	0.000000	0.000000	7.073043	7.437337	-0.100767	0.00	0	
1747645200000	cbBTC,USDC	0.05168056,5123.50	10572.99	572.99	5.729932	23.86	108.902526	10452.63	10452.63	120.365117	0.000000	0.000000	7.073043	7.437337	-0.098398	0.00	0	
1747648800000	cbBTC,USDC	0.05168056,5123.50	10567.05	567.05	5.670482	23.82	109.162983	10446.58	10446.58	120.472307	0.000000	0.000000	7.073043	7.437337	-0.095897	0.00	0	
1747652400000	cbBTC,USDC	0.05168056,5123.50	10568.22	568.22	5.682167	23.79	109.224003	10447.66	10447.66	120.560679	0.000000	0.000000	7.073043	7.437337	-0.096341	0.00	0	
1747656000000	cbBTC,USDC	0.05168056,5123.50	10538.43	538.43	5.384282	23.78	110.224997	10417.63	10417.63	120.801202	0.000000	0.000000	7.073043	7.437337	-0.084340	0.00	0	
1747659600000	cbBTC,USDC	0.05168056,5123.50	10586.33	586.33	5.863291	23.87	109.773093	10464.79	10464.79	121.543567	0.000000	0.000000	7.073043	7.437337	-0.103511	0.00	0	
1747663200000	cbBTC,USDC	0.05168056,5123.50	10636.88	636.88	6.368806	23.99	109.364851	10514.49	10514.49	122.393981	0.000000	0.000000	7.073043	7.437337	-0.125621	0.00	0	
1747666800000	cbBTC,USDC	0.05168056,5123.50	10664.20	664.20	6.641986	24.01	109.094654	10541.39	10541.39	122.805185	0.000000	0.000000	7.073043	7.437337	-0.138387	0.00	0	
1747670400000	cbBTC,USDC	0.05168056,5123.50	10693.09	693.09	6.930900	24.06	108.891698	10569.77	10569.77	123.320831	0.000000	0.000000	7.073043	7.437337	-0.152442	0.00	0	
1747674000000	cbBTC,USDC	0.05168056,5123.50	10694.08	694.08	6.940778	24.10	109.348470	10570.29	10570.29	123.790721	0.000000	0.000000	7.073043	7.437337	-0.152705	0.00	0	
1747677600000	cbBTC,USDC	0.05168056,5123.50	10662.94	662.94	6.629397	24.09	110.367846	10538.92	10538.92	124.015838	0.000000	0.000000	7.073043	7.437337	-0.137192	0.00	0	
1747681200000	cbBTC,USDC	0.05168056,5123.50	10702.53	702.53	7.025346	24.12	109.815193	10578.08	10578.08	124.454791	0.000000	0.000000	7.073043	7.437337	-0.156673	0.00	0	
1747684800000	cbBTC,USDC	0.05168056,5123.50	10697.95	697.95	6.979467	24.12	110.197122	10573.23	10573.23	124.713970	0.000000	0.000000	7.073043	7.437337	-0.154199	0.00	0	
1747688400000	cbBTC,USDC	0.05168056,5123.50	10699.35	699.35	6.993459	24.10	110.378713	10574.42	10574.42	124.925633	0.000000	0.000000	7.073043	7.437337	-0.154804	0.00	0	
1747692000000	cbBTC,USDC	0.05168056,5123.50	10707.59	707.59	7.075859	24.09	110.372167	10582.46	10582.46	125.122768	0.000000	0.000000	7.073043	7.437337	-0.158925	0.00	0	
1747695600000	cbBTC,USDC	0.05168056,5123.50	10708.89	708.89	7.088934	24.07	110.493943	10583.62	10583.62	125.273831	0.000000	0.000000	7.073043	7.437337	-0.159521	0.00	0	
1747699200000	cbBTC,USDC	0.05168056,5123.50	10714.99	714.99	7.149886	24.17	111.156788	10588.92	10588.92	126.070851	0.000000	0.000000	7.073043	7.437337	-0.162266	0.00	0	
1747702800000	cbBTC,USDC	0.05168056,5123.50	10756.58	756.58	7.565832	24.26	110.898196	10629.74	10629.74	126.845993	0.000000	0.000000	7.184052	7.565832	-0.184104	0.00	0	
1747706400000	cbBTC,USDC	0.05168056,5123.50	10733.63	733.63	7.336280	24.26	111.770864	10606.50	10606.50	127.130134	0.000000	0.000000	7.184052	7.565832	-0.171523	0.00	0	
1747710000000	cbBTC,USDC	0.05168056,5123.50	10715.60	715.60	7.156041	24.25	112.427928	10588.28	10588.28	127.325798	0.000000	0.000000	7.184052	7.565832	-0.161934	0.00	0	
1747713600000	cbBTC,USDC	0.05168056,5123.50	10740.41	740.41	7.404057	24.25	112.124478	10612.76	10612.76	127.642417	0.000000	0.000000	7.184052	7.565832	-0.174877	0.00	0	
1747717200000	cbBTC,USDC	0.05168056,5123.50	10738.73	738.73	7.387270	24.23	112.302564	10610.95	10610.95	127.774642	0.000000	0.000000	7.184052	7.565832	-0.173904	0.00	0	
1747720800000	cbBTC,USDC	0.05168056,5123.50	10706.44	706.44	7.064441	24.19	113.204831	10578.59	10578.59	127.857269	0.000000	0.000000	7.184052	7.565832	-0.156933	0.00	0	
1747724400000	cbBTC,USDC	0.05168056,5123.50	10683.29	683.29	6.832859	24.18	114.011464	10555.21	10555.21	128.071992	0.000000	0.000000	7.184052	7.565832	-0.145157	0.00	0	
1747728000000	cbBTC,USDC	0.05168056,5123.50	10689.22	689.22	6.892206	24.16	114.061956	10560.95	10560.95	128.267819	0.000000	0.000000	7.184052	7.565832	-0.148011	0.00	0	
1747731600000	cbBTC,USDC	0.05168056,5123.50	10696.60	696.60	6.965984	24.13	113.947502	10568.26	10568.26	128.338416	0.000000	0.000000	7.184052	7.565832	-0.151680	0.00	0	
1747735200000	cbBTC,USDC	0.05168056,5123.50	10684.53	684.53	6.845302	24.09	114.322192	10556.12	10556.12	128.405778	0.000000	0.000000	7.184052	7.565832	-0.145608	0.00	0	
1747738800000	cbBTC,USDC	0.05168056,5123.50	10691.70	691.70	6.916967	24.06	114.297244	10563.14	10563.14	128.558453	0.000000	0.000000	7.184052	7.565832	-0.149104	0.00	0	
1747742400000	cbBTC,USDC	0.05168056,5123.50	10669.86	669.86	6.698602	24.02	114.891460	10541.26	10541.26	128.598651	0.000000	0.000000	7.184052	7.565832	-0.138323	0.00	0	
1747746000000	cbBTC,USDC	0.05168056,5123.50	10652.58	652.58	6.525822	24.02	115.602460	10523.72	10523.72	128.865341	0.000000	0.000000	7.184052	7.565832	-0.129938	0.00	0	
1747749600000	cbBTC,USDC	0.05168056,5123.50	10660.08	660.08	6.600757	24.06	115.915267	10530.72	10530.72	129.355504	0.000000	0.000000	7.184052	7.565832	-0.133257	0.00	0	
1747753200000	cbBTC,USDC	0.05168056,5123.50	10699.79	699.79	6.997900	24.09	115.386916	10569.97	10569.97	129.821107	0.000000	0.000000	7.184052	7.565832	-0.152543	0.00	0	
1747756800000	cbBTC,USDC	0.05168056,5123.50	10693.21	693.21	6.932145	24.09	115.817902	10563.14	10563.14	130.079041	0.000000	0.000000	7.184052	7.565832	-0.149102	0.00	0	
1747760400000	cbBTC,USDC	0.05168056,5123.50	10747.56	747.56	7.475586	24.16	115.133152	10616.81	10616.81	130.753450	0.000000	0.000000	7.184052	7.565832	-0.177055	0.00	0	
